:START_ID(COMPANY_ID)|:END_ID(COUNTRY_ID)|:TYPE
0|59|IS_LOCATED_IN
1|59|IS_LOCATED_IN
2|59|IS_LOCATED_IN
3|59|IS_LOCATED_IN
4|59|IS_LOCATED_IN
5|59|IS_LOCATED_IN
6|59|IS_LOCATED_IN
7|60|IS_LOCATED_IN
8|60|IS_LOCATED_IN
9|60|IS_LOCATED_IN
10|60|IS_LOCATED_IN
11|60|IS_LOCATED_IN
12|2|IS_LOCATED_IN
13|2|IS_LOCATED_IN
14|2|IS_LOCATED_IN
15|2|IS_LOCATED_IN
16|2|IS_LOCATED_IN
17|2|IS_LOCATED_IN
18|2|IS_LOCATED_IN
19|2|IS_LOCATED_IN
20|2|IS_LOCATED_IN
21|61|IS_LOCATED_IN
22|61|IS_LOCATED_IN
23|61|IS_LOCATED_IN
24|61|IS_LOCATED_IN
25|61|IS_LOCATED_IN
26|61|IS_LOCATED_IN
27|61|IS_LOCATED_IN
28|61|IS_LOCATED_IN
29|61|IS_LOCATED_IN
30|61|IS_LOCATED_IN
31|61|IS_LOCATED_IN
32|61|IS_LOCATED_IN
33|61|IS_LOCATED_IN
34|62|IS_LOCATED_IN
35|62|IS_LOCATED_IN
36|62|IS_LOCATED_IN
37|62|IS_LOCATED_IN
38|62|IS_LOCATED_IN
39|62|IS_LOCATED_IN
40|62|IS_LOCATED_IN
41|62|IS_LOCATED_IN
42|62|IS_LOCATED_IN
43|62|IS_LOCATED_IN
44|62|IS_LOCATED_IN
45|62|IS_LOCATED_IN
46|62|IS_LOCATED_IN
47|62|IS_LOCATED_IN
48|62|IS_LOCATED_IN
49|62|IS_LOCATED_IN
50|62|IS_LOCATED_IN
51|62|IS_LOCATED_IN
52|62|IS_LOCATED_IN
53|62|IS_LOCATED_IN
54|62|IS_LOCATED_IN
55|62|IS_LOCATED_IN
56|62|IS_LOCATED_IN
57|62|IS_LOCATED_IN
58|62|IS_LOCATED_IN
59|62|IS_LOCATED_IN
60|62|IS_LOCATED_IN
61|62|IS_LOCATED_IN
62|62|IS_LOCATED_IN
63|62|IS_LOCATED_IN
64|62|IS_LOCATED_IN
65|62|IS_LOCATED_IN
66|62|IS_LOCATED_IN
67|62|IS_LOCATED_IN
68|62|IS_LOCATED_IN
69|62|IS_LOCATED_IN
70|62|IS_LOCATED_IN
71|62|IS_LOCATED_IN
72|62|IS_LOCATED_IN
73|62|IS_LOCATED_IN
74|62|IS_LOCATED_IN
75|62|IS_LOCATED_IN
76|62|IS_LOCATED_IN
77|62|IS_LOCATED_IN
78|62|IS_LOCATED_IN
79|3|IS_LOCATED_IN
80|3|IS_LOCATED_IN
81|3|IS_LOCATED_IN
82|3|IS_LOCATED_IN
83|3|IS_LOCATED_IN
84|3|IS_LOCATED_IN
85|3|IS_LOCATED_IN
86|3|IS_LOCATED_IN
87|3|IS_LOCATED_IN
88|3|IS_LOCATED_IN
89|3|IS_LOCATED_IN
90|3|IS_LOCATED_IN
91|3|IS_LOCATED_IN
92|3|IS_LOCATED_IN
93|3|IS_LOCATED_IN
94|3|IS_LOCATED_IN
95|3|IS_LOCATED_IN
96|3|IS_LOCATED_IN
97|3|IS_LOCATED_IN
98|3|IS_LOCATED_IN
99|3|IS_LOCATED_IN
100|4|IS_LOCATED_IN
101|4|IS_LOCATED_IN
102|4|IS_LOCATED_IN
103|4|IS_LOCATED_IN
104|4|IS_LOCATED_IN
105|4|IS_LOCATED_IN
106|63|IS_LOCATED_IN
107|63|IS_LOCATED_IN
108|63|IS_LOCATED_IN
109|63|IS_LOCATED_IN
110|64|IS_LOCATED_IN
111|64|IS_LOCATED_IN
112|64|IS_LOCATED_IN
113|64|IS_LOCATED_IN
114|64|IS_LOCATED_IN
115|64|IS_LOCATED_IN
116|64|IS_LOCATED_IN
117|64|IS_LOCATED_IN
118|64|IS_LOCATED_IN
119|64|IS_LOCATED_IN
120|64|IS_LOCATED_IN
121|64|IS_LOCATED_IN
122|5|IS_LOCATED_IN
123|5|IS_LOCATED_IN
124|5|IS_LOCATED_IN
125|5|IS_LOCATED_IN
126|5|IS_LOCATED_IN
127|5|IS_LOCATED_IN
128|5|IS_LOCATED_IN
129|6|IS_LOCATED_IN
130|6|IS_LOCATED_IN
131|6|IS_LOCATED_IN
132|6|IS_LOCATED_IN
133|6|IS_LOCATED_IN
134|6|IS_LOCATED_IN
135|49|IS_LOCATED_IN
136|49|IS_LOCATED_IN
137|49|IS_LOCATED_IN
138|49|IS_LOCATED_IN
139|49|IS_LOCATED_IN
140|49|IS_LOCATED_IN
141|49|IS_LOCATED_IN
142|49|IS_LOCATED_IN
143|49|IS_LOCATED_IN
144|49|IS_LOCATED_IN
145|49|IS_LOCATED_IN
146|49|IS_LOCATED_IN
147|49|IS_LOCATED_IN
148|49|IS_LOCATED_IN
149|49|IS_LOCATED_IN
150|49|IS_LOCATED_IN
151|49|IS_LOCATED_IN
152|49|IS_LOCATED_IN
153|49|IS_LOCATED_IN
154|49|IS_LOCATED_IN
155|49|IS_LOCATED_IN
156|49|IS_LOCATED_IN
157|49|IS_LOCATED_IN
158|49|IS_LOCATED_IN
159|49|IS_LOCATED_IN
160|49|IS_LOCATED_IN
161|49|IS_LOCATED_IN
162|49|IS_LOCATED_IN
163|49|IS_LOCATED_IN
164|49|IS_LOCATED_IN
165|49|IS_LOCATED_IN
166|49|IS_LOCATED_IN
167|49|IS_LOCATED_IN
168|49|IS_LOCATED_IN
169|49|IS_LOCATED_IN
170|49|IS_LOCATED_IN
171|49|IS_LOCATED_IN
172|49|IS_LOCATED_IN
173|49|IS_LOCATED_IN
174|49|IS_LOCATED_IN
175|49|IS_LOCATED_IN
176|49|IS_LOCATED_IN
177|49|IS_LOCATED_IN
178|49|IS_LOCATED_IN
179|49|IS_LOCATED_IN
180|49|IS_LOCATED_IN
181|49|IS_LOCATED_IN
182|49|IS_LOCATED_IN
183|49|IS_LOCATED_IN
184|49|IS_LOCATED_IN
185|49|IS_LOCATED_IN
186|7|IS_LOCATED_IN
187|7|IS_LOCATED_IN
188|7|IS_LOCATED_IN
189|7|IS_LOCATED_IN
190|7|IS_LOCATED_IN
191|7|IS_LOCATED_IN
192|7|IS_LOCATED_IN
193|7|IS_LOCATED_IN
194|7|IS_LOCATED_IN
195|67|IS_LOCATED_IN
196|67|IS_LOCATED_IN
197|67|IS_LOCATED_IN
198|67|IS_LOCATED_IN
199|67|IS_LOCATED_IN
200|67|IS_LOCATED_IN
201|67|IS_LOCATED_IN
202|67|IS_LOCATED_IN
203|67|IS_LOCATED_IN
204|67|IS_LOCATED_IN
205|68|IS_LOCATED_IN
206|68|IS_LOCATED_IN
207|68|IS_LOCATED_IN
208|68|IS_LOCATED_IN
209|68|IS_LOCATED_IN
210|66|IS_LOCATED_IN
211|66|IS_LOCATED_IN
212|66|IS_LOCATED_IN
213|66|IS_LOCATED_IN
214|66|IS_LOCATED_IN
215|66|IS_LOCATED_IN
216|66|IS_LOCATED_IN
217|66|IS_LOCATED_IN
218|66|IS_LOCATED_IN
219|66|IS_LOCATED_IN
220|66|IS_LOCATED_IN
221|66|IS_LOCATED_IN
222|66|IS_LOCATED_IN
223|66|IS_LOCATED_IN
224|66|IS_LOCATED_IN
225|66|IS_LOCATED_IN
226|66|IS_LOCATED_IN
227|66|IS_LOCATED_IN
228|66|IS_LOCATED_IN
229|66|IS_LOCATED_IN
230|66|IS_LOCATED_IN
231|66|IS_LOCATED_IN
232|66|IS_LOCATED_IN
233|66|IS_LOCATED_IN
234|66|IS_LOCATED_IN
235|66|IS_LOCATED_IN
236|66|IS_LOCATED_IN
237|66|IS_LOCATED_IN
238|66|IS_LOCATED_IN
239|66|IS_LOCATED_IN
240|66|IS_LOCATED_IN
241|66|IS_LOCATED_IN
242|66|IS_LOCATED_IN
243|66|IS_LOCATED_IN
244|66|IS_LOCATED_IN
245|66|IS_LOCATED_IN
246|66|IS_LOCATED_IN
247|66|IS_LOCATED_IN
248|66|IS_LOCATED_IN
249|8|IS_LOCATED_IN
250|8|IS_LOCATED_IN
251|8|IS_LOCATED_IN
252|69|IS_LOCATED_IN
253|69|IS_LOCATED_IN
254|69|IS_LOCATED_IN
255|69|IS_LOCATED_IN
256|69|IS_LOCATED_IN
257|69|IS_LOCATED_IN
258|69|IS_LOCATED_IN
259|69|IS_LOCATED_IN
260|69|IS_LOCATED_IN
261|70|IS_LOCATED_IN
262|70|IS_LOCATED_IN
263|70|IS_LOCATED_IN
264|70|IS_LOCATED_IN
265|70|IS_LOCATED_IN
266|70|IS_LOCATED_IN
267|70|IS_LOCATED_IN
268|70|IS_LOCATED_IN
269|70|IS_LOCATED_IN
270|70|IS_LOCATED_IN
271|70|IS_LOCATED_IN
272|70|IS_LOCATED_IN
273|70|IS_LOCATED_IN
274|70|IS_LOCATED_IN
275|70|IS_LOCATED_IN
276|70|IS_LOCATED_IN
277|70|IS_LOCATED_IN
278|70|IS_LOCATED_IN
279|70|IS_LOCATED_IN
280|70|IS_LOCATED_IN
281|70|IS_LOCATED_IN
282|70|IS_LOCATED_IN
283|70|IS_LOCATED_IN
284|70|IS_LOCATED_IN
285|70|IS_LOCATED_IN
286|70|IS_LOCATED_IN
287|70|IS_LOCATED_IN
288|70|IS_LOCATED_IN
289|70|IS_LOCATED_IN
290|70|IS_LOCATED_IN
291|70|IS_LOCATED_IN
292|9|IS_LOCATED_IN
293|9|IS_LOCATED_IN
294|9|IS_LOCATED_IN
295|9|IS_LOCATED_IN
296|71|IS_LOCATED_IN
297|71|IS_LOCATED_IN
298|71|IS_LOCATED_IN
299|72|IS_LOCATED_IN
300|72|IS_LOCATED_IN
301|72|IS_LOCATED_IN
302|72|IS_LOCATED_IN
303|72|IS_LOCATED_IN
304|72|IS_LOCATED_IN
305|72|IS_LOCATED_IN
306|72|IS_LOCATED_IN
307|72|IS_LOCATED_IN
308|73|IS_LOCATED_IN
309|73|IS_LOCATED_IN
310|73|IS_LOCATED_IN
311|73|IS_LOCATED_IN
312|73|IS_LOCATED_IN
313|73|IS_LOCATED_IN
314|73|IS_LOCATED_IN
315|73|IS_LOCATED_IN
316|73|IS_LOCATED_IN
317|73|IS_LOCATED_IN
318|73|IS_LOCATED_IN
319|73|IS_LOCATED_IN
320|73|IS_LOCATED_IN
321|73|IS_LOCATED_IN
322|73|IS_LOCATED_IN
323|73|IS_LOCATED_IN
324|73|IS_LOCATED_IN
325|73|IS_LOCATED_IN
326|73|IS_LOCATED_IN
327|73|IS_LOCATED_IN
328|73|IS_LOCATED_IN
329|73|IS_LOCATED_IN
330|73|IS_LOCATED_IN
331|73|IS_LOCATED_IN
332|10|IS_LOCATED_IN
333|10|IS_LOCATED_IN
334|10|IS_LOCATED_IN
335|10|IS_LOCATED_IN
336|10|IS_LOCATED_IN
337|10|IS_LOCATED_IN
338|10|IS_LOCATED_IN
339|10|IS_LOCATED_IN
340|10|IS_LOCATED_IN
341|10|IS_LOCATED_IN
342|10|IS_LOCATED_IN
343|10|IS_LOCATED_IN
344|10|IS_LOCATED_IN
345|11|IS_LOCATED_IN
346|11|IS_LOCATED_IN
347|74|IS_LOCATED_IN
348|74|IS_LOCATED_IN
349|74|IS_LOCATED_IN
350|74|IS_LOCATED_IN
351|74|IS_LOCATED_IN
352|74|IS_LOCATED_IN
353|74|IS_LOCATED_IN
354|74|IS_LOCATED_IN
355|74|IS_LOCATED_IN
356|74|IS_LOCATED_IN
357|74|IS_LOCATED_IN
358|74|IS_LOCATED_IN
359|74|IS_LOCATED_IN
360|74|IS_LOCATED_IN
361|74|IS_LOCATED_IN
362|74|IS_LOCATED_IN
363|74|IS_LOCATED_IN
364|74|IS_LOCATED_IN
365|74|IS_LOCATED_IN
366|74|IS_LOCATED_IN
367|74|IS_LOCATED_IN
368|74|IS_LOCATED_IN
369|74|IS_LOCATED_IN
370|75|IS_LOCATED_IN
371|75|IS_LOCATED_IN
372|75|IS_LOCATED_IN
373|75|IS_LOCATED_IN
374|75|IS_LOCATED_IN
375|75|IS_LOCATED_IN
376|75|IS_LOCATED_IN
377|75|IS_LOCATED_IN
378|75|IS_LOCATED_IN
379|75|IS_LOCATED_IN
380|75|IS_LOCATED_IN
381|75|IS_LOCATED_IN
382|75|IS_LOCATED_IN
383|75|IS_LOCATED_IN
384|75|IS_LOCATED_IN
385|75|IS_LOCATED_IN
386|75|IS_LOCATED_IN
387|75|IS_LOCATED_IN
388|75|IS_LOCATED_IN
389|75|IS_LOCATED_IN
390|75|IS_LOCATED_IN
391|75|IS_LOCATED_IN
392|75|IS_LOCATED_IN
393|75|IS_LOCATED_IN
394|13|IS_LOCATED_IN
395|13|IS_LOCATED_IN
396|13|IS_LOCATED_IN
397|13|IS_LOCATED_IN
398|13|IS_LOCATED_IN
399|76|IS_LOCATED_IN
400|76|IS_LOCATED_IN
401|14|IS_LOCATED_IN
402|14|IS_LOCATED_IN
403|14|IS_LOCATED_IN
404|14|IS_LOCATED_IN
405|14|IS_LOCATED_IN
406|14|IS_LOCATED_IN
407|14|IS_LOCATED_IN
408|14|IS_LOCATED_IN
409|14|IS_LOCATED_IN
410|14|IS_LOCATED_IN
411|77|IS_LOCATED_IN
412|77|IS_LOCATED_IN
413|77|IS_LOCATED_IN
414|77|IS_LOCATED_IN
415|77|IS_LOCATED_IN
416|77|IS_LOCATED_IN
417|77|IS_LOCATED_IN
418|77|IS_LOCATED_IN
419|77|IS_LOCATED_IN
420|77|IS_LOCATED_IN
421|77|IS_LOCATED_IN
422|77|IS_LOCATED_IN
423|77|IS_LOCATED_IN
424|77|IS_LOCATED_IN
425|77|IS_LOCATED_IN
426|77|IS_LOCATED_IN
427|77|IS_LOCATED_IN
428|77|IS_LOCATED_IN
429|77|IS_LOCATED_IN
430|77|IS_LOCATED_IN
431|77|IS_LOCATED_IN
432|77|IS_LOCATED_IN
433|77|IS_LOCATED_IN
434|77|IS_LOCATED_IN
435|77|IS_LOCATED_IN
436|77|IS_LOCATED_IN
437|77|IS_LOCATED_IN
438|77|IS_LOCATED_IN
439|77|IS_LOCATED_IN
440|77|IS_LOCATED_IN
441|77|IS_LOCATED_IN
442|50|IS_LOCATED_IN
443|50|IS_LOCATED_IN
444|50|IS_LOCATED_IN
445|50|IS_LOCATED_IN
446|50|IS_LOCATED_IN
447|50|IS_LOCATED_IN
448|50|IS_LOCATED_IN
449|50|IS_LOCATED_IN
450|50|IS_LOCATED_IN
451|50|IS_LOCATED_IN
452|50|IS_LOCATED_IN
453|50|IS_LOCATED_IN
454|50|IS_LOCATED_IN
455|50|IS_LOCATED_IN
456|50|IS_LOCATED_IN
457|50|IS_LOCATED_IN
458|50|IS_LOCATED_IN
459|50|IS_LOCATED_IN
460|50|IS_LOCATED_IN
461|50|IS_LOCATED_IN
462|50|IS_LOCATED_IN
463|50|IS_LOCATED_IN
464|50|IS_LOCATED_IN
465|50|IS_LOCATED_IN
466|50|IS_LOCATED_IN
467|50|IS_LOCATED_IN
468|50|IS_LOCATED_IN
469|50|IS_LOCATED_IN
470|50|IS_LOCATED_IN
471|50|IS_LOCATED_IN
472|50|IS_LOCATED_IN
473|50|IS_LOCATED_IN
474|50|IS_LOCATED_IN
475|50|IS_LOCATED_IN
476|50|IS_LOCATED_IN
477|50|IS_LOCATED_IN
478|50|IS_LOCATED_IN
479|50|IS_LOCATED_IN
480|50|IS_LOCATED_IN
481|50|IS_LOCATED_IN
482|50|IS_LOCATED_IN
483|50|IS_LOCATED_IN
484|50|IS_LOCATED_IN
485|50|IS_LOCATED_IN
486|50|IS_LOCATED_IN
487|50|IS_LOCATED_IN
488|50|IS_LOCATED_IN
489|50|IS_LOCATED_IN
490|78|IS_LOCATED_IN
491|78|IS_LOCATED_IN
492|78|IS_LOCATED_IN
493|78|IS_LOCATED_IN
494|78|IS_LOCATED_IN
495|78|IS_LOCATED_IN
496|78|IS_LOCATED_IN
497|78|IS_LOCATED_IN
498|78|IS_LOCATED_IN
499|78|IS_LOCATED_IN
500|78|IS_LOCATED_IN
501|78|IS_LOCATED_IN
502|78|IS_LOCATED_IN
503|78|IS_LOCATED_IN
504|78|IS_LOCATED_IN
505|78|IS_LOCATED_IN
506|78|IS_LOCATED_IN
507|78|IS_LOCATED_IN
508|78|IS_LOCATED_IN
509|78|IS_LOCATED_IN
510|78|IS_LOCATED_IN
511|78|IS_LOCATED_IN
512|78|IS_LOCATED_IN
513|78|IS_LOCATED_IN
514|78|IS_LOCATED_IN
515|78|IS_LOCATED_IN
516|78|IS_LOCATED_IN
517|78|IS_LOCATED_IN
518|15|IS_LOCATED_IN
519|15|IS_LOCATED_IN
520|15|IS_LOCATED_IN
521|15|IS_LOCATED_IN
522|15|IS_LOCATED_IN
523|16|IS_LOCATED_IN
524|16|IS_LOCATED_IN
525|16|IS_LOCATED_IN
526|16|IS_LOCATED_IN
527|16|IS_LOCATED_IN
528|16|IS_LOCATED_IN
529|16|IS_LOCATED_IN
530|16|IS_LOCATED_IN
531|16|IS_LOCATED_IN
532|79|IS_LOCATED_IN
533|79|IS_LOCATED_IN
534|79|IS_LOCATED_IN
535|79|IS_LOCATED_IN
536|79|IS_LOCATED_IN
537|79|IS_LOCATED_IN
538|0|IS_LOCATED_IN
539|0|IS_LOCATED_IN
540|0|IS_LOCATED_IN
541|0|IS_LOCATED_IN
542|0|IS_LOCATED_IN
543|0|IS_LOCATED_IN
544|0|IS_LOCATED_IN
545|0|IS_LOCATED_IN
546|0|IS_LOCATED_IN
547|0|IS_LOCATED_IN
548|0|IS_LOCATED_IN
549|0|IS_LOCATED_IN
550|0|IS_LOCATED_IN
551|0|IS_LOCATED_IN
552|0|IS_LOCATED_IN
553|0|IS_LOCATED_IN
554|0|IS_LOCATED_IN
555|51|IS_LOCATED_IN
556|51|IS_LOCATED_IN
557|51|IS_LOCATED_IN
558|51|IS_LOCATED_IN
559|51|IS_LOCATED_IN
560|51|IS_LOCATED_IN
561|51|IS_LOCATED_IN
562|51|IS_LOCATED_IN
563|51|IS_LOCATED_IN
564|51|IS_LOCATED_IN
565|51|IS_LOCATED_IN
566|51|IS_LOCATED_IN
567|51|IS_LOCATED_IN
568|51|IS_LOCATED_IN
569|51|IS_LOCATED_IN
570|51|IS_LOCATED_IN
571|51|IS_LOCATED_IN
572|51|IS_LOCATED_IN
573|51|IS_LOCATED_IN
574|51|IS_LOCATED_IN
575|51|IS_LOCATED_IN
576|51|IS_LOCATED_IN
577|51|IS_LOCATED_IN
578|51|IS_LOCATED_IN
579|51|IS_LOCATED_IN
580|51|IS_LOCATED_IN
581|51|IS_LOCATED_IN
582|51|IS_LOCATED_IN
583|51|IS_LOCATED_IN
584|51|IS_LOCATED_IN
585|51|IS_LOCATED_IN
586|51|IS_LOCATED_IN
587|51|IS_LOCATED_IN
588|51|IS_LOCATED_IN
589|80|IS_LOCATED_IN
590|80|IS_LOCATED_IN
591|80|IS_LOCATED_IN
592|80|IS_LOCATED_IN
593|80|IS_LOCATED_IN
594|80|IS_LOCATED_IN
595|80|IS_LOCATED_IN
596|80|IS_LOCATED_IN
597|80|IS_LOCATED_IN
598|80|IS_LOCATED_IN
599|80|IS_LOCATED_IN
600|80|IS_LOCATED_IN
601|80|IS_LOCATED_IN
602|80|IS_LOCATED_IN
603|80|IS_LOCATED_IN
604|80|IS_LOCATED_IN
605|80|IS_LOCATED_IN
606|80|IS_LOCATED_IN
607|17|IS_LOCATED_IN
608|17|IS_LOCATED_IN
609|17|IS_LOCATED_IN
610|17|IS_LOCATED_IN
611|17|IS_LOCATED_IN
612|17|IS_LOCATED_IN
613|17|IS_LOCATED_IN
614|17|IS_LOCATED_IN
615|17|IS_LOCATED_IN
616|17|IS_LOCATED_IN
617|81|IS_LOCATED_IN
618|81|IS_LOCATED_IN
619|81|IS_LOCATED_IN
620|81|IS_LOCATED_IN
621|81|IS_LOCATED_IN
622|81|IS_LOCATED_IN
623|81|IS_LOCATED_IN
624|81|IS_LOCATED_IN
625|81|IS_LOCATED_IN
626|81|IS_LOCATED_IN
627|81|IS_LOCATED_IN
628|81|IS_LOCATED_IN
629|81|IS_LOCATED_IN
630|81|IS_LOCATED_IN
631|81|IS_LOCATED_IN
632|81|IS_LOCATED_IN
633|81|IS_LOCATED_IN
634|81|IS_LOCATED_IN
635|81|IS_LOCATED_IN
636|81|IS_LOCATED_IN
637|81|IS_LOCATED_IN
638|81|IS_LOCATED_IN
639|81|IS_LOCATED_IN
640|81|IS_LOCATED_IN
641|81|IS_LOCATED_IN
642|81|IS_LOCATED_IN
643|81|IS_LOCATED_IN
644|81|IS_LOCATED_IN
645|81|IS_LOCATED_IN
646|81|IS_LOCATED_IN
647|81|IS_LOCATED_IN
648|81|IS_LOCATED_IN
649|81|IS_LOCATED_IN
650|81|IS_LOCATED_IN
651|81|IS_LOCATED_IN
652|81|IS_LOCATED_IN
653|81|IS_LOCATED_IN
654|81|IS_LOCATED_IN
655|81|IS_LOCATED_IN
656|81|IS_LOCATED_IN
657|81|IS_LOCATED_IN
658|81|IS_LOCATED_IN
659|81|IS_LOCATED_IN
660|81|IS_LOCATED_IN
661|81|IS_LOCATED_IN
662|81|IS_LOCATED_IN
663|81|IS_LOCATED_IN
664|52|IS_LOCATED_IN
665|52|IS_LOCATED_IN
666|52|IS_LOCATED_IN
667|52|IS_LOCATED_IN
668|52|IS_LOCATED_IN
669|52|IS_LOCATED_IN
670|52|IS_LOCATED_IN
671|52|IS_LOCATED_IN
672|52|IS_LOCATED_IN
673|52|IS_LOCATED_IN
674|52|IS_LOCATED_IN
675|52|IS_LOCATED_IN
676|52|IS_LOCATED_IN
677|52|IS_LOCATED_IN
678|52|IS_LOCATED_IN
679|52|IS_LOCATED_IN
680|52|IS_LOCATED_IN
681|52|IS_LOCATED_IN
682|52|IS_LOCATED_IN
683|18|IS_LOCATED_IN
684|18|IS_LOCATED_IN
685|18|IS_LOCATED_IN
686|18|IS_LOCATED_IN
687|18|IS_LOCATED_IN
688|18|IS_LOCATED_IN
689|18|IS_LOCATED_IN
690|18|IS_LOCATED_IN
691|18|IS_LOCATED_IN
692|18|IS_LOCATED_IN
693|18|IS_LOCATED_IN
694|18|IS_LOCATED_IN
695|18|IS_LOCATED_IN
696|82|IS_LOCATED_IN
697|82|IS_LOCATED_IN
698|82|IS_LOCATED_IN
699|82|IS_LOCATED_IN
700|82|IS_LOCATED_IN
701|82|IS_LOCATED_IN
702|82|IS_LOCATED_IN
703|82|IS_LOCATED_IN
704|82|IS_LOCATED_IN
705|82|IS_LOCATED_IN
706|82|IS_LOCATED_IN
707|82|IS_LOCATED_IN
708|82|IS_LOCATED_IN
709|82|IS_LOCATED_IN
710|82|IS_LOCATED_IN
711|82|IS_LOCATED_IN
712|82|IS_LOCATED_IN
713|82|IS_LOCATED_IN
714|82|IS_LOCATED_IN
715|82|IS_LOCATED_IN
716|83|IS_LOCATED_IN
717|83|IS_LOCATED_IN
718|83|IS_LOCATED_IN
719|83|IS_LOCATED_IN
720|83|IS_LOCATED_IN
721|83|IS_LOCATED_IN
722|83|IS_LOCATED_IN
723|83|IS_LOCATED_IN
724|83|IS_LOCATED_IN
725|83|IS_LOCATED_IN
726|83|IS_LOCATED_IN
727|83|IS_LOCATED_IN
728|19|IS_LOCATED_IN
729|19|IS_LOCATED_IN
730|20|IS_LOCATED_IN
731|20|IS_LOCATED_IN
732|20|IS_LOCATED_IN
733|20|IS_LOCATED_IN
734|20|IS_LOCATED_IN
735|21|IS_LOCATED_IN
736|21|IS_LOCATED_IN
737|22|IS_LOCATED_IN
738|22|IS_LOCATED_IN
739|22|IS_LOCATED_IN
740|22|IS_LOCATED_IN
741|22|IS_LOCATED_IN
742|22|IS_LOCATED_IN
743|22|IS_LOCATED_IN
744|22|IS_LOCATED_IN
745|22|IS_LOCATED_IN
746|22|IS_LOCATED_IN
747|22|IS_LOCATED_IN
748|22|IS_LOCATED_IN
749|23|IS_LOCATED_IN
750|23|IS_LOCATED_IN
751|23|IS_LOCATED_IN
752|23|IS_LOCATED_IN
753|23|IS_LOCATED_IN
754|23|IS_LOCATED_IN
755|23|IS_LOCATED_IN
756|23|IS_LOCATED_IN
757|23|IS_LOCATED_IN
758|84|IS_LOCATED_IN
759|85|IS_LOCATED_IN
760|85|IS_LOCATED_IN
761|85|IS_LOCATED_IN
762|85|IS_LOCATED_IN
763|85|IS_LOCATED_IN
764|85|IS_LOCATED_IN
765|85|IS_LOCATED_IN
766|85|IS_LOCATED_IN
767|85|IS_LOCATED_IN
768|85|IS_LOCATED_IN
769|85|IS_LOCATED_IN
770|85|IS_LOCATED_IN
771|24|IS_LOCATED_IN
772|24|IS_LOCATED_IN
773|24|IS_LOCATED_IN
774|24|IS_LOCATED_IN
775|25|IS_LOCATED_IN
776|25|IS_LOCATED_IN
777|26|IS_LOCATED_IN
778|53|IS_LOCATED_IN
779|53|IS_LOCATED_IN
780|53|IS_LOCATED_IN
781|53|IS_LOCATED_IN
782|53|IS_LOCATED_IN
783|53|IS_LOCATED_IN
784|53|IS_LOCATED_IN
785|53|IS_LOCATED_IN
786|53|IS_LOCATED_IN
787|53|IS_LOCATED_IN
788|53|IS_LOCATED_IN
789|53|IS_LOCATED_IN
790|53|IS_LOCATED_IN
791|53|IS_LOCATED_IN
792|53|IS_LOCATED_IN
793|53|IS_LOCATED_IN
794|53|IS_LOCATED_IN
795|53|IS_LOCATED_IN
796|53|IS_LOCATED_IN
797|53|IS_LOCATED_IN
798|53|IS_LOCATED_IN
799|53|IS_LOCATED_IN
800|53|IS_LOCATED_IN
801|53|IS_LOCATED_IN
802|53|IS_LOCATED_IN
803|53|IS_LOCATED_IN
804|53|IS_LOCATED_IN
805|53|IS_LOCATED_IN
806|53|IS_LOCATED_IN
807|53|IS_LOCATED_IN
